Wigs, Local, Stream, Download
125000, 0.7188460826873779, 0.7381439208984375, 32.31666088104248
250000, 1.2318098545074463, 1.279447078704834, 32.95721769332886
375000, 1.965397834777832, 4.206146955490112, 33.82942485809326
500000, 2.5106520652770996, 2.991703987121582, 34.48686695098877
625000, 2.529841899871826, 2.648383140563965, 34.46874284744263
750000, 2.5202109813690186, 2.6403110027313232, 34.484702825546265
875000, 2.5277211666107178, 2.639965057373047, 34.49688482284546
1000000, 2.5278260707855225, 2.6445560455322266, 34.497052907943726
1125000, 2.5237839221954346, 2.674724817276001, 34.50059700012207
1250000, 2.5212011337280273, 2.6353580951690674, 34.49444365501404
1375000, 2.5360372066497803, 2.6480469703674316, 34.49588871002197
1500000, 2.5405771732330322, 2.64648699760437, 34.49918985366821
1625000, 2.5335848331451416, 2.6583800315856934, 34.49938988685608
1750000, 2.535404920578003, 2.646505832672119, 34.49860596656799
1875000, 2.5384271144866943, 2.6424620151519775, 34.496421813964844
2000000, 2.531406879425049, 2.6454811096191406, 34.49834179878235
2125000, 2.541841983795166, 2.645189046859741, 34.49455666542053
2250000, 2.53529691696167, 2.6512949466705322, 34.49730181694031
2375000, 2.5567569732666016, 2.647616147994995, 34.50381684303284
2500000, 2.545793056488037, 2.6505699157714844, 34.49655890464783
